Title,Description,Release,Director,Rating,Duration,Votes,Genre,Stars
Star Trek: Picard,Follow-up series to Star Trek: The Next Generation (1987) and Star Trek - La nemesi (2002) that centers on Jean-Luc Picard in the next chapter of his life.,2020,Patrick Stewart,7.5,46,57484.0,"Action, Adventure, Drama","Patrick Stewart, Alison Pill, Michelle Hurd, Santiago Cabrera"
Uncharted,"Street-smart Nathan Drake is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan to recover a fortune amassed by Ferdinand Magellan, and lost 500 years ago by the House of Moncada.",2022,Ruben Fleischer,6.7,116,54506.0,"Action, Adventure","Tom Holland, Mark Wahlberg, Antonio Banderas, Sophia Ali"
Vikings,"Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.",2013,Katheryn Winnick,8.6,44,500438.0,"Action, Adventure, Drama","Katheryn Winnick, Gustaf Skarsgård, Alexander Ludwig, Georgia Hirst"
Il trono di spade,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",2011,Emilia Clarke,9.3,57,1965.0,"Action, Adventure, Drama","Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey"
Free Guy - Eroe per gioco,"A bank teller discovers that he's actually an NPC inside a brutal, open world video game.",2021,Shawn Levy,7.2,115,312002.0,"Action, Adventure, Comedy","Ryan Reynolds, Jodie Comer, Taika Waititi, Lil Rel Howery"
The Boys Presents: Diabolical,The Boys animated spin-off.,2022,Grey Griffin,7.0,14,5069.0,"Animation, Short, Action","Grey Griffin, Antony Starr, Ben Schwartz, Chris Diamantopoulos"
Dune,Feature adaptation of Frank Herbert's science fiction novel about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.,2021,Denis Villeneuve,8.1,155,517230.0,"Action, Adventure, Drama","Timothée Chalamet, Rebecca Ferguson, Zendaya, Oscar Isaac"
Peacemaker,"Picking up where The Suicide Squad - Missione suicida (2021) left off, Peacemaker returns home after recovering from his encounter with Bloodsport - only to discover that his freedom comes at a price.",2022,John Cena,8.5,40,74306.0,"Action, Adventure, Comedy","John Cena, Danielle Brooks, Freddie Stroma, Chukwudi Iwuji"
Killing Eve,"After a series of events, the lives of a security operative and an assassin become inextricably linked.",2018,Jodie Comer,8.2,42,106986.0,"Action, Adventure, Drama","Jodie Comer, Sandra Oh, Fiona Shaw, Kim Bodnia"
Blacklight,"Travis Block is a government operative coming to terms with his shadowy past. When he discovers a plot targeting U.S. citizens, Block finds himself in the crosshairs of the FBI director he once helped protect.",2022,Mark Williams,4.7,104,7067.0,"Action, Thriller","Liam Neeson, Aidan Quinn, Taylor John Smith, Emmy Raver-Lampman"
The Guardians of Justice,"When their seemingly fearless leader self-destructs, a team of troubled superheroes must confront festering evil in the world - and in themselves.",2022,Tiffany Hines,4.8,30,2319.0,"Animation, Action, Adventure","Tiffany Hines, Dallas Page, Sharni Vinson, Denise Richards"
NCIS - Unità anticrimine,"The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.",2003,Mark Harmon,7.9,60,138917.0,"Action, Crime, Drama","Mark Harmon, David McCallum, Sean Murray, Pauley Perrette"
Star Trek: Discovery,"Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien.",2017,Sonequa Martin-Green,7.1,60,115252.0,"Action, Adventure, Drama","Sonequa Martin-Green, Doug Jones, Anthony Rapp, Emily Coutts"
The Book of Boba Fett,Bounty hunter Boba Fett & mercenary Fennec Shand navigate the underworld when they return to Tatooine to claim Jabba the Hutt's old turf.,2021,Temuera Morrison,7.5,38,103555.0,"Action, Adventure, Sci-Fi","Temuera Morrison, Ming-Na Wen, Frank Trigg, Collin Hymes"
Batman Begins,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",2005,Christopher Nolan,8.3,140,1410.0,"Action, Crime, Drama","Christian Bale, Michael Caine, Ken Watanabe, Liam Neeson"
Moon Knight,"A former U.S. Marine, struggling with dissociative identity disorder, is granted the powers of an Egyptian moon god. But he soon finds out that these newfound powers can be both a blessing and a curse to his troubled life.",2022,Oscar Isaac,,,,"Action, Adventure, Drama","Oscar Isaac, Ethan Hawke, Gaspard Ulliel, F. Murray Abraham"
Il cavaliere oscuro - Il ritorno,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",2012,Christopher Nolan,8.4,164,1634.0,"Action, Crime, Drama","Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman"
Eternals,"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.",2021,Chloé Zhao,6.4,156,276654.0,"Action, Adventure, Fantasy","Gemma Chan, Richard Madden, Angelina Jolie, Salma Hayek"
The Boys,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,2019,Karl Urban,8.7,60,352497.0,"Action, Crime, Drama","Karl Urban, Jack Quaid, Antony Starr, Erin Moriarty"
Morbius,"Biochemist Michael Morbius tries to cure himself of a rare blood disease, but he inadvertently infects himself with a form of vampirism instead.",2022,Daniel Espinosa,,108,,"Action, Adventure, Drama","Jared Leto, Michael Keaton, Adria Arjona, Jared Harris"
Fast & Furious 9 - The Fast Saga,Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.,2021,Justin Lin,5.2,143,118101.0,"Action, Crime, Thriller","Vin Diesel, Michelle Rodriguez, Jordana Brewster, Tyrese Gibson"
The Witcher,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.",2019,Henry Cavill,8.3,60,459788.0,"Action, Adventure, Drama","Henry Cavill, Freya Allan, Anya Chalotra, Mimi Ndiweni"
Doctor Strange nel multiverso della follia,"Dr. Stephen Strange casts a forbidden spell that opens the door to the multiverse, including an alternate version of himself, whose threat to humanity is too great for the combined forces of Strange, Wong, and Wanda Maximoff.",2022,Sam Raimi,,,,"Action, Adventure, Fantasy","Benedict Cumberbatch, Patrick Stewart, Rachel McAdams, Elizabeth Olsen"
The Flash,"After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, fighting crime in Central City.",2014,Grant Gustin,7.7,43,334224.0,"Action, Adventure, Drama","Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes"
Batman,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.",1989,Tim Burton,7.5,126,366121.0,"Action, Adventure","Michael Keaton, Jack Nicholson, Kim Basinger, Robert Wuhl"
The Mandalorian,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",2019,Pedro Pascal,8.8,40,415192.0,"Action, Adventure, Fantasy","Pedro Pascal, Carl Weathers, Barry Lowin, Gina Carano"
